,          W07,          W08,          W09,          W10,          W11,          W12,          W13,          W14,          W15,          WAll
AllData,   1573372,   1572255,   1620593,   1683263,   2598485,   1932425,   1680706,   1094525,   640095,   14395719
GoodSpills,   1298306,   1223877,   1333335,   1374620,   1901071,   1659030,   1314489,   982131,   616734,   11703593
xPion_xN_xF,   1298278,   1223851,   1333307,   1374599,   1901033,   1658996,   1314470,   982125,   616720,   11703379
0.4<qT<5,   1121908,   1056835,   1151253,   1187125,   1641463,   1432115,   1134223,   846897,   532045,   10103864
dilutionFactor,   1121908,   1056835,   1151253,   1187125,   1641463,   1432115,   1134223,   846897,   532045,   10103864
TargetZ-cut,   314965,   298531,   324413,   335659,   465172,   406975,   322964,   241673,   151937,   2862289
TargetRadius,   308278,   292114,   317985,   328658,   455580,   398610,   316149,   236019,   148834,   2802227
