,          W07,          W08,          W09,          W10,          W11,          W12,          W13,          W14,          W15,          WAll
AllData,   20259358,   20605574,   20520815,   21630118,   33644484,   25126579,   21778925,   14304447,   8246741,   186117041
GoodSpills,   16765362,   16008862,   17151894,   17710277,   24699753,   21779857,   17124772,   12857160,   7964840,   152062777
xPion_xN_xF,   16765341,   16008848,   17151876,   17710265,   24699727,   21779839,   17124760,   12857152,   7964831,   152062639
0.4<qT<5,   12480029,   11906596,   12743771,   13168371,   18377891,   16190006,   12728493,   9550992,   5923996,   113070145
dilutionFactor,   12480029,   11906596,   12743771,   13168371,   18377891,   16190006,   12728493,   9550992,   5923996,   113070145
TargetZ-cut,   3106410,   3006092,   3154207,   3244077,   4528727,   3996310,   3143020,   2367293,   1457886,   28004022
TargetRadius,   2502000,   2390843,   2576198,   2647451,   3682446,   3268594,   2565549,   1897922,   1185691,   22716694
