,          W07,          W08,          W09,          W10,          W11,          W12,          W13,          W14,          W15,          WAll
AllData,   18723,   18718,   18793,   19923,   30380,   22764,   19942,   12837,   7446,   169526
GoodSpills,   15424,   14541,   15713,   16257,   22331,   19668,   15597,   11533,   7191,   138255
xPion_xN_xF,   15411,   14530,   15697,   16251,   22313,   19657,   15588,   11528,   7184,   138159
0.4<qT<5,   13932,   13126,   14152,   14751,   20220,   17720,   14057,   10427,   6463,   124848
dilutionFactor,   4212,   4013,   4273,   4447,   6306,   5489,   4345,   3093,   2022,   124848
TargetZ-cut,   4212,   4013,   4273,   4447,   6306,   5489,   4345,   3093,   2022,   38200
TargetRadius,   3834,   3612,   3914,   4074,   5743,   5052,   3978,   2845,   1852,   34904
